County,State
San Luis Obispo,California
Jefferson,Colorado
Larimer,Colorado
Prowers,Colorado
Osceola,Florida
Burke,Georgia
Minidoka,Idaho
Ford,Illinois
Kankakee,Illinois
Menard,Illinois
Piatt,Illinois
Putnam,Illinois
Shelby,Illinois
Tazewell,Illinois
Franklin,Indiana
Morgan,Indiana
Ohio,Indiana
Steuben,Indiana
Whitley,Indiana
Black Hawk,Iowa
Cedar,Iowa
Cherokee,Iowa
Clarke,Iowa
Emmet,Iowa
Madison,Iowa
O'Brien,Iowa
Palo Alto,Iowa
Coffey,Kansas
Franklin,Kansas
Jackson,Kansas
Marion,Kansas
Pratt,Kansas
Seward,Kansas
Plymouth,Massachusetts
Branch,Michigan
Ogemaw,Michigan
Anoka,Minnesota
Chippewa,Minnesota
Cook,Minnesota
Faribault,Minnesota
Hennepin,Minnesota
Martin,Minnesota
Mcleod,Minnesota
Rice,Minnesota
Scott,Minnesota
Stearns,Minnesota
Wadena,Minnesota
Leake,Mississippi
Knox,Missouri
Cascade,Montana
Butler,Nebraska
Cedar,Nebraska
Loup,Nebraska
Valley,Nebraska
Humboldt,Nevada
San Miguel,New Mexico
Cattaraugus,New York
St. Lawrence,New York
Chowan,North Carolina
Jackson,North Carolina
Billings,North Dakota
Divide,North Dakota
Ramsey,North Dakota
Sargent,North Dakota
Fulton,Ohio
Miami,Ohio
Baker,Oregon
Clearfield,Pennsylvania
Lycoming,Pennsylvania
Mifflin,Pennsylvania
Northumberland,Pennsylvania
Beadle,South Dakota
Grant,South Dakota
Hand,South Dakota
Hyde,South Dakota
Marshall,South Dakota
Moody,South Dakota
Sanborn,South Dakota
Union,South Dakota
Archer,Texas
Denton,Texas
Guadalupe,Texas
Palo Pinto,Texas
Shenandoah,Virginia
Pierce,Wisconsin
